,date,Country,Businesses_R&D expenditure,Businesses_product development,Consulting Firms_innovation management,Consulting Firms_innovation strategy,Government agencies_government grants,Government agencies_research funding,Innovation Hubs_startup incubation,Innovation Hubs_technology park,Patent Attorneys_patent attorney,Patent Attorneys_patent registration,R&D Employees_R&D jobs,Research Institutions_collaboration with industry,Research Institutions_research grant,Tax Authorities_R&D tax credit,VCs_VC investment,VCs_startup funding,Year,Month,Businesses_R&D expenditure_mean_YTD,Businesses_product development_mean_YTD,Consulting Firms_innovation management_mean_YTD,Consulting Firms_innovation strategy_mean_YTD,Government agencies_government grants_mean_YTD,Government agencies_research funding_mean_YTD,Innovation Hubs_startup incubation_mean_YTD,Innovation Hubs_technology park_mean_YTD,Patent Attorneys_patent attorney_mean_YTD,Patent Attorneys_patent registration_mean_YTD,R&D Employees_R&D jobs_mean_YTD,Research Institutions_collaboration with industry_mean_YTD,Research Institutions_research grant_mean_YTD,Tax Authorities_R&D tax credit_mean_YTD,VCs_VC investment_mean_YTD,VCs_startup funding_mean_YTD
850,2012-11-01,CN,,6.0,0.0,0.0,,,,,,,,,,,,,2012,11,,3.4,0.0,0.0,,,,,,,,,,,,
849,2012-11-01,CH,,0.0,,0.0,,,,,6.0,,,,7.0,,,,2012,11,,0.0,,0.0,,,,,6.7,,,,2.4,,,
848,2012-11-01,CA,,0.0,,,0.0,83.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2012,11,,0.0,,,0.0,59.3,,0.0,0.0,0.0,0.0,,,0.0,0.0,5.2
851,2012-11-01,DE,,0.0,33.0,11.0,0.0,0.0,,59.0,0.0,,28.0,,0.0,,0.0,8.0,2012,11,,0.0,31.3,11.8,0.0,0.0,,28.9,0.0,,11.9,,0.0,,0.0,1.3
856,2012-12-01,CA,,0.0,,,0.0,26.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,4.0,2012,12,,0.0,,,0.0,61.45454545454545,,0.0,0.0,0.0,0.0,,,0.0,0.0,4.7272727272727275
857,2012-12-01,CH,,0.0,,0.0,,,,,0.0,,,,0.0,,,,2012,12,,0.0,,0.0,,,,,6.636363636363637,,,,2.8181818181818183,,,
858,2012-12-01,CN,,4.0,0.0,0.0,,,,,,,,,,,,,2012,12,,3.6363636363636362,0.0,0.0,,,,,,,,,,,,
859,2012-12-01,DE,,0.0,27.0,7.0,0.0,0.0,,57.0,0.0,,0.0,,0.0,,0.0,5.0,2012,12,,0.0,31.454545454545453,11.727272727272727,0.0,0.0,,31.636363636363637,0.0,,13.363636363636363,,0.0,,0.0,1.9090909090909092
860,2012-12-01,GB,0.0,21.0,62.0,0.0,36.0,49.0,,26.0,0.0,0.0,,,15.0,36.0,6.0,40.0,2012,12,29.545454545454547,29.727272727272727,60.63636363636363,0.0,47.81818181818182,64.63636363636364,,39.36363636363637,0.0,4.636363636363637,,,21.545454545454547,38.0,10.090909090909092,32.18181818181818
861,2012-12-01,JP,,0.0,67.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,17.0,2012,12,,0.0,26.636363636363637,0.0,,0.0,,30.727272727272727,0.0,,,,4.636363636363637,,,0.0
862,2012-12-01,KR,,4.0,,0.0,,4.0,,51.0,,0.0,,,3.0,0.0,0.0,0.0,2012,12,,4.181818181818182,,0.45454545454545453,,1.5454545454545454,,8.909090909090908,,0.0,,,1.8181818181818181,0.0,0.0,0.0
863,2012-12-01,US,4.0,30.0,39.0,22.0,8.0,21.0,0.0,29.0,32.0,9.0,23.0,0.0,22.0,24.0,0.0,49.0,2012,12,6.545454545454546,37.63636363636363,66.0,24.272727272727273,12.545454545454545,26.0,11.727272727272727,43.90909090909091,44.72727272727273,10.909090909090908,26.09090909090909,3.272727272727273,32.18181818181818,21.09090909090909,0.0,50.63636363636363
867,2013-01-01,DE,,0.0,36.0,16.0,0.0,0.0,,54.0,0.0,,36.0,,0.0,,0.0,7.0,2013,1,,,,,,,,,,,,,,,,
871,2013-01-01,US,0.0,39.0,61.0,20.0,11.0,27.0,19.0,40.0,42.0,7.0,33.0,0.0,33.0,28.0,0.0,47.0,2013,1,,,,,,,,,,,,,,,,
870,2013-01-01,KR,,0.0,,2.0,,0.0,,34.0,,0.0,,,0.0,0.0,0.0,0.0,2013,1,,,,,,,,,,,,,,,,
869,2013-01-01,JP,,0.0,21.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,2013,1,,,,,,,,,,,,,,,,
866,2013-01-01,CN,,8.0,0.0,0.0,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,
865,2013-01-01,CH,,0.0,,0.0,,,,,12.0,,,,0.0,,,,2013,1,,,,,,,,,,,,,,,,
864,2013-01-01,CA,,0.0,,,0.0,78.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,8.0,2013,1,,,,,,,,,,,,,,,,
868,2013-01-01,GB,0.0,30.0,76.0,0.0,61.0,76.0,,48.0,0.0,4.0,,,22.0,43.0,4.0,45.0,2013,1,,,,,,,,,,,,,,,,
879,2013-02-01,US,3.0,43.0,80.0,27.0,9.0,30.0,0.0,39.0,43.0,7.0,22.0,0.0,36.0,26.0,0.0,62.0,2013,2,0.0,39.0,61.0,20.0,11.0,27.0,19.0,40.0,42.0,7.0,33.0,0.0,33.0,28.0,0.0,47.0
872,2013-02-01,CA,,0.0,,,0.0,46.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,5.0,2013,2,,0.0,,,0.0,78.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,8.0
873,2013-02-01,CH,,0.0,,0.0,,,,,0.0,,,,5.0,,,,2013,2,,0.0,,0.0,,,,,12.0,,,,0.0,,,
874,2013-02-01,CN,,3.0,0.0,0.0,,,,,,,,,,,,,2013,2,,8.0,0.0,0.0,,,,,,,,,,,,
875,2013-02-01,DE,,0.0,39.0,10.0,0.0,0.0,,37.0,0.0,,48.0,,0.0,,0.0,5.0,2013,2,,0.0,36.0,16.0,0.0,0.0,,54.0,0.0,,36.0,,0.0,,0.0,7.0
876,2013-02-01,GB,22.0,30.0,68.0,0.0,66.0,76.0,,35.0,0.0,0.0,,,25.0,63.0,6.0,27.0,2013,2,0.0,30.0,76.0,0.0,61.0,76.0,,48.0,0.0,4.0,,,22.0,43.0,4.0,45.0
877,2013-02-01,JP,,0.0,56.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,3.0,2013,2,,0.0,21.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0
878,2013-02-01,KR,,0.0,,0.0,,6.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,2013,2,,0.0,,2.0,,0.0,,34.0,,0.0,,,0.0,0.0,0.0,0.0
886,2013-03-01,KR,,6.0,,1.0,,0.0,,51.0,,0.0,,,1.0,0.0,0.0,0.0,2013,3,,0.0,,1.0,,3.0,,17.0,,0.0,,,0.0,0.0,0.0,0.0
885,2013-03-01,JP,,0.0,0.0,0.0,,0.0,,22.0,0.0,,,,3.0,,,0.0,2013,3,,0.0,38.5,0.0,,0.0,,0.0,0.0,,,,0.0,,,1.5
887,2013-03-01,US,4.0,40.0,66.0,30.0,9.0,28.0,0.0,38.0,40.0,10.0,26.0,18.0,31.0,13.0,0.0,67.0,2013,3,1.5,41.0,70.5,23.5,10.0,28.5,9.5,39.5,42.5,7.0,27.5,0.0,34.5,27.0,0.0,54.5
884,2013-03-01,GB,0.0,27.0,65.0,0.0,58.0,64.0,,35.0,0.0,0.0,,,18.0,47.0,6.0,45.0,2013,3,11.0,30.0,72.0,0.0,63.5,76.0,,41.5,0.0,2.0,,,23.5,53.0,5.0,36.0
880,2013-03-01,CA,,0.0,,,0.0,65.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,8.0,2013,3,,0.0,,,0.0,62.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,6.5
882,2013-03-01,CN,,9.0,0.0,0.0,,,,,,,,,,,,,2013,3,,5.5,0.0,0.0,,,,,,,,,,,,
881,2013-03-01,CH,,0.0,,0.0,,,,,0.0,,,,5.0,,,,2013,3,,0.0,,0.0,,,,,6.0,,,,2.5,,,
883,2013-03-01,DE,,0.0,35.0,7.0,0.0,0.0,,27.0,0.0,,31.0,,0.0,,0.0,0.0,2013,3,,0.0,37.5,13.0,0.0,0.0,,45.5,0.0,,42.0,,0.0,,0.0,6.0
888,2013-04-01,CA,,0.0,,,0.0,51.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,5.0,2013,4,,0.0,,,0.0,63.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,7.0
889,2013-04-01,CH,,0.0,,0.0,,,,,7.0,,,,0.0,,,,2013,4,,0.0,,0.0,,,,,4.0,,,,3.3333333333333335,,,
890,2013-04-01,CN,,11.0,0.0,0.0,,,,,,,,,,,,,2013,4,,6.666666666666667,0.0,0.0,,,,,,,,,,,,
891,2013-04-01,DE,,0.0,38.0,12.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,2013,4,,0.0,36.666666666666664,11.0,0.0,0.0,,39.333333333333336,0.0,,38.333333333333336,,0.0,,0.0,4.0
892,2013-04-01,GB,0.0,24.0,73.0,0.0,53.0,82.0,,36.0,0.0,0.0,,,20.0,44.0,8.0,52.0,2013,4,7.333333333333333,29.0,69.66666666666667,0.0,61.666666666666664,72.0,,39.333333333333336,0.0,1.3333333333333333,,,21.666666666666668,51.0,5.333333333333333,39.0
893,2013-04-01,JP,,0.0,42.0,0.0,,0.0,,25.0,0.0,,,,12.0,,,0.0,2013,4,,0.0,25.666666666666668,0.0,,0.0,,7.333333333333333,0.0,,,,1.0,,,1.0
894,2013-04-01,KR,,3.0,,0.0,,0.0,,0.0,,0.0,,,3.0,0.0,0.0,0.0,2013,4,,2.0,,1.0,,2.0,,28.333333333333332,,0.0,,,0.3333333333333333,0.0,0.0,0.0
895,2013-04-01,US,0.0,42.0,76.0,29.0,9.0,31.0,0.0,47.0,47.0,9.0,23.0,0.0,34.0,22.0,0.0,65.0,2013,4,2.3333333333333335,40.666666666666664,69.0,25.666666666666668,9.666666666666666,28.333333333333332,6.333333333333333,39.0,41.666666666666664,8.0,27.0,6.0,33.333333333333336,22.333333333333332,0.0,58.666666666666664
903,2013-05-01,US,5.0,34.0,81.0,24.0,8.0,24.0,55.0,47.0,42.0,10.0,18.0,9.0,28.0,14.0,0.0,60.0,2013,5,1.75,41.0,70.75,26.5,9.5,29.0,4.75,41.0,43.0,8.25,26.0,4.5,33.5,22.25,0.0,60.25
902,2013-05-01,KR,,7.0,,0.0,,0.0,,0.0,,0.0,,,2.0,0.0,0.0,0.0,2013,5,,2.25,,0.75,,1.5,,21.25,,0.0,,,1.0,0.0,0.0,0.0
901,2013-05-01,JP,,0.0,43.0,0.0,,0.0,,55.0,0.0,,,,6.0,,,0.0,2013,5,,0.0,29.75,0.0,,0.0,,11.75,0.0,,,,3.75,,,0.75
900,2013-05-01,GB,38.0,32.0,50.0,0.0,55.0,65.0,,37.0,0.0,3.0,,,23.0,46.0,0.0,33.0,2013,5,5.5,27.75,70.5,0.0,59.5,74.5,,38.5,0.0,1.0,,,21.25,49.25,6.0,42.25
898,2013-05-01,CN,,8.0,0.0,0.0,,,,,,,,,,,,,2013,5,,7.75,0.0,0.0,,,,,,,,,,,,
897,2013-05-01,CH,,0.0,,0.0,,,,,7.0,,,,6.0,,,,2013,5,,0.0,,0.0,,,,,4.75,,,,2.5,,,
896,2013-05-01,CA,,0.0,,,0.0,55.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,8.0,2013,5,,0.0,,,0.0,60.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,6.5
899,2013-05-01,DE,,0.0,41.0,15.0,0.0,0.0,,27.0,0.0,,33.0,,0.0,,0.0,5.0,2013,5,,0.0,37.0,11.25,0.0,0.0,,29.5,0.0,,28.75,,0.0,,0.0,3.0
904,2013-06-01,CA,,0.0,,,0.0,53.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,10.0,2013,6,,0.0,,,0.0,59.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,6.8
905,2013-06-01,CH,,0.0,,0.0,,,,,19.0,,,,0.0,,,,2013,6,,0.0,,0.0,,,,,5.2,,,,3.2,,,
906,2013-06-01,CN,,8.0,0.0,0.0,,,,,,,,,,,,,2013,6,,7.8,0.0,0.0,,,,,,,,,,,,
907,2013-06-01,DE,,0.0,29.0,12.0,0.0,0.0,,33.0,0.0,,60.0,,0.0,,0.0,5.0,2013,6,,0.0,37.8,12.0,0.0,0.0,,29.0,0.0,,29.6,,0.0,,0.0,3.4
908,2013-06-01,GB,35.0,27.0,44.0,0.0,51.0,69.0,,37.0,0.0,6.0,,,17.0,62.0,0.0,46.0,2013,6,12.0,28.6,66.4,0.0,58.6,72.6,,38.2,0.0,1.4,,,21.6,48.6,4.8,40.4
909,2013-06-01,JP,,0.0,34.0,0.0,,0.0,,16.0,0.0,,,,0.0,,,0.0,2013,6,,0.0,32.4,0.0,,0.0,,20.4,0.0,,,,4.2,,,0.6
910,2013-06-01,KR,,6.0,,0.0,,3.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,2013,6,,3.2,,0.6,,1.2,,17.0,,0.0,,,1.2,0.0,0.0,0.0
911,2013-06-01,US,8.0,31.0,55.0,20.0,8.0,19.0,0.0,44.0,40.0,14.0,27.0,0.0,24.0,23.0,0.0,53.0,2013,6,2.4,39.6,72.8,26.0,9.2,28.0,14.8,42.2,42.8,8.6,24.4,5.4,32.4,20.6,0.0,60.2
917,2013-07-01,JP,,0.0,0.0,0.0,,0.0,,16.0,0.0,,,,0.0,,,0.0,2013,7,,0.0,32.666666666666664,0.0,,0.0,,19.666666666666668,0.0,,,,3.5,,,0.5
919,2013-07-01,US,0.0,32.0,53.0,25.0,9.0,19.0,0.0,38.0,41.0,11.0,21.0,0.0,27.0,17.0,0.0,59.0,2013,7,3.3333333333333335,38.166666666666664,69.83333333333333,25.0,9.0,26.5,12.333333333333334,42.5,42.333333333333336,9.5,24.833333333333332,4.5,31.0,21.0,0.0,59.0
918,2013-07-01,KR,,3.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,2013,7,,3.6666666666666665,,0.5,,1.5,,14.166666666666666,,0.0,,,1.0,0.0,0.0,0.0
916,2013-07-01,GB,36.0,21.0,44.0,0.0,52.0,69.0,,35.0,0.0,5.0,,,18.0,66.0,0.0,100.0,2013,7,15.833333333333334,28.333333333333332,62.666666666666664,0.0,57.333333333333336,72.0,,38.0,0.0,2.1666666666666665,,,20.833333333333332,50.833333333333336,4.0,41.333333333333336
912,2013-07-01,CA,,0.0,,,0.0,53.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,7.0,2013,7,,0.0,,,0.0,58.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,7.333333333333333
914,2013-07-01,CN,,5.0,0.0,0.0,,,,,,,,,,,,,2013,7,,7.833333333333333,0.0,0.0,,,,,,,,,,,,
913,2013-07-01,CH,,0.0,,0.0,,,,,0.0,,,,0.0,,,,2013,7,,0.0,,0.0,,,,,7.5,,,,2.6666666666666665,,,
915,2013-07-01,DE,,0.0,29.0,14.0,0.0,0.0,,22.0,0.0,,0.0,,0.0,,0.0,0.0,2013,7,,0.0,36.333333333333336,12.0,0.0,0.0,,29.666666666666668,0.0,,34.666666666666664,,0.0,,0.0,3.6666666666666665
920,2013-08-01,CA,,0.0,,,0.0,48.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2013,8,,0.0,,,0.0,57.285714285714285,,0.0,0.0,0.0,0.0,,,0.0,0.0,7.285714285714286
921,2013-08-01,CH,,0.0,,0.0,,,,,0.0,,,,6.0,,,,2013,8,,0.0,,0.0,,,,,6.428571428571429,,,,2.2857142857142856,,,
922,2013-08-01,CN,,6.0,0.0,0.0,,,,,,,,,,,,,2013,8,,7.428571428571429,0.0,0.0,,,,,,,,,,,,
923,2013-08-01,DE,,0.0,26.0,8.0,0.0,0.0,,20.0,0.0,,0.0,,0.0,,0.0,0.0,2013,8,,0.0,35.285714285714285,12.285714285714286,0.0,0.0,,28.571428571428573,0.0,,29.714285714285715,,0.0,,0.0,3.142857142857143
924,2013-08-01,GB,50.0,21.0,44.0,0.0,49.0,52.0,,30.0,0.0,3.0,,,14.0,22.0,5.0,41.0,2013,8,18.714285714285715,27.285714285714285,60.0,0.0,56.57142857142857,71.57142857142857,,37.57142857142857,0.0,2.5714285714285716,,,20.428571428571427,53.0,3.4285714285714284,49.714285714285715
925,2013-08-01,JP,,0.0,32.0,0.0,,0.0,,23.0,0.0,,,,3.0,,,2.0,2013,8,,0.0,28.0,0.0,,0.0,,19.142857142857142,0.0,,,,3.0,,,0.42857142857142855
926,2013-08-01,KR,,2.0,,0.0,,0.0,,60.0,,0.0,,,0.0,0.0,0.0,0.0,2013,8,,3.5714285714285716,,0.42857142857142855,,1.2857142857142858,,12.142857142857142,,0.0,,,0.8571428571428571,0.0,0.0,0.0
927,2013-08-01,US,4.0,35.0,54.0,14.0,10.0,19.0,0.0,43.0,43.0,10.0,26.0,0.0,27.0,21.0,0.0,61.0,2013,8,2.857142857142857,37.285714285714285,67.42857142857143,25.0,9.0,25.428571428571427,10.571428571428571,41.857142857142854,42.142857142857146,9.714285714285714,24.285714285714285,3.857142857142857,30.428571428571427,20.428571428571427,0.0,59.0
935,2013-09-01,US,0.0,40.0,73.0,21.0,10.0,20.0,0.0,39.0,35.0,7.0,24.0,34.0,35.0,16.0,0.0,49.0,2013,9,3.0,37.0,65.75,23.625,9.125,24.625,9.25,42.0,42.25,9.75,24.5,3.375,30.0,20.5,0.0,59.25
934,2013-09-01,KR,,4.0,,1.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,2013,9,,3.375,,0.375,,1.125,,18.125,,0.0,,,0.75,0.0,0.0,0.0
933,2013-09-01,JP,,0.0,0.0,0.0,,0.0,,29.0,0.0,,,,3.0,,,7.0,2013,9,,0.0,28.5,0.0,,0.0,,19.625,0.0,,,,3.0,,,0.625
932,2013-09-01,GB,0.0,27.0,40.0,0.0,49.0,52.0,,38.0,0.0,3.0,,,16.0,44.0,5.0,59.0,2013,9,22.625,26.5,58.0,0.0,55.625,69.125,,36.625,0.0,2.625,,,19.625,49.125,3.625,48.625
928,2013-09-01,CA,,0.0,,,0.0,56.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,8.0,2013,9,,0.0,,,0.0,56.125,,0.0,0.0,0.0,0.0,,,0.0,0.0,6.375
930,2013-09-01,CN,,9.0,0.0,0.0,,,,,,,,,,,,,2013,9,,7.25,0.0,0.0,,,,,,,,,,,,
929,2013-09-01,CH,,0.0,,0.0,,,,,9.0,,,,0.0,,,,2013,9,,0.0,,0.0,,,,,5.625,,,,2.75,,,
931,2013-09-01,DE,,0.0,21.0,7.0,0.0,0.0,,19.0,0.0,,0.0,,0.0,,0.0,8.0,2013,9,,0.0,34.125,11.75,0.0,0.0,,27.5,0.0,,26.0,,0.0,,0.0,2.75
941,2013-10-01,JP,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,2.0,,,0.0,2013,10,,0.0,25.333333333333332,0.0,,0.0,,20.666666666666668,0.0,,,,3.0,,,1.3333333333333333
943,2013-10-01,US,0.0,42.0,77.0,25.0,10.0,28.0,0.0,40.0,41.0,9.0,19.0,0.0,33.0,12.0,0.0,52.0,2013,10,2.6666666666666665,37.333333333333336,66.55555555555556,23.333333333333332,9.222222222222221,24.11111111111111,8.222222222222221,41.666666666666664,41.44444444444444,9.444444444444445,24.444444444444443,6.777777777777778,30.555555555555557,20.0,0.0,58.111111111111114
942,2013-10-01,KR,,4.0,,2.0,,2.0,,0.0,,0.0,,,2.0,0.0,0.0,0.0,2013,10,,3.4444444444444446,,0.4444444444444444,,1.0,,16.11111111111111,,0.0,,,0.6666666666666666,0.0,0.0,0.0
940,2013-10-01,GB,61.0,30.0,74.0,0.0,53.0,75.0,,36.0,0.0,0.0,,,21.0,72.0,16.0,27.0,2013,10,20.11111111111111,26.555555555555557,56.0,0.0,54.888888888888886,67.22222222222223,,36.77777777777778,0.0,2.6666666666666665,,,19.22222222222222,48.55555555555556,3.7777777777777777,49.77777777777778
939,2013-10-01,DE,,0.0,41.0,18.0,0.0,0.0,,52.0,0.0,,22.0,,0.0,,0.0,0.0,2013,10,,0.0,32.666666666666664,11.222222222222221,0.0,0.0,,26.555555555555557,0.0,,23.11111111111111,,0.0,,0.0,3.3333333333333335
938,2013-10-01,CN,,8.0,0.0,0.0,,,,,,,,,,,,,2013,10,,7.444444444444445,0.0,0.0,,,,,,,,,,,,
937,2013-10-01,CH,,0.0,,0.0,,,,,12.0,,,,0.0,,,,2013,10,,0.0,,0.0,,,,,6.0,,,,2.4444444444444446,,,
936,2013-10-01,CA,,0.0,,,0.0,52.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,11.0,2013,10,,0.0,,,0.0,56.111111111111114,,0.0,0.0,0.0,0.0,,,0.0,0.0,6.555555555555555
950,2013-11-01,KR,,5.0,,0.0,,9.0,,56.0,,0.0,,,0.0,0.0,0.0,0.0,2013,11,,3.5,,0.6,,1.1,,14.5,,0.0,,,0.8,0.0,0.0,0.0
949,2013-11-01,JP,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,2.0,,,0.0,2013,11,,0.0,22.8,0.0,,0.0,,18.6,0.0,,,,2.9,,,1.2
948,2013-11-01,GB,24.0,32.0,59.0,0.0,55.0,64.0,,38.0,0.0,5.0,,,23.0,25.0,5.0,40.0,2013,11,24.2,26.9,57.8,0.0,54.7,68.0,,36.7,0.0,2.4,,,19.4,50.9,5.0,47.5
951,2013-11-01,US,0.0,38.0,58.0,24.0,8.0,25.0,100.0,40.0,36.0,12.0,27.0,0.0,29.0,16.0,0.0,70.0,2013,11,2.4,37.8,67.6,23.5,9.3,24.5,7.4,41.5,41.4,9.4,23.9,6.1,30.8,19.2,0.0,57.5
946,2013-11-01,CN,,9.0,0.0,0.0,,,,,,,,,,,,,2013,11,,7.5,0.0,0.0,,,,,,,,,,,,
945,2013-11-01,CH,,0.0,,0.0,,,,,8.0,,,,0.0,,,,2013,11,,0.0,,0.0,,,,,6.6,,,,2.2,,,
944,2013-11-01,CA,,0.0,,,0.0,63.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,9.0,2013,11,,0.0,,,0.0,55.7,,0.0,0.0,0.0,0.0,,,0.0,0.0,7.0
947,2013-11-01,DE,,0.0,34.0,15.0,0.0,0.0,,42.0,0.0,,0.0,,0.0,,0.0,0.0,2013,11,,0.0,33.5,11.9,0.0,0.0,,29.1,0.0,,23.0,,0.0,,0.0,3.0
952,2013-12-01,CA,,0.0,,,0.0,56.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2013,12,,0.0,,,0.0,56.36363636363637,,0.0,0.0,0.0,0.0,,,0.0,0.0,7.181818181818182
953,2013-12-01,CH,,0.0,,0.0,,,,,13.0,,,,0.0,,,,2013,12,,0.0,,0.0,,,,,6.7272727272727275,,,,2.0,,,
954,2013-12-01,CN,,9.0,0.0,0.0,,,,,,,,,,,,,2013,12,,7.636363636363637,0.0,0.0,,,,,,,,,,,,
955,2013-12-01,DE,,0.0,29.0,11.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,2013,12,,0.0,33.54545454545455,12.181818181818182,0.0,0.0,,30.272727272727273,0.0,,20.90909090909091,,0.0,,0.0,2.727272727272727
956,2013-12-01,GB,44.0,23.0,64.0,0.0,41.0,60.0,,25.0,0.0,3.0,,,12.0,36.0,0.0,43.0,2013,12,24.181818181818183,27.363636363636363,57.90909090909091,0.0,54.72727272727273,67.63636363636364,,36.81818181818182,0.0,2.6363636363636362,,,19.727272727272727,48.54545454545455,5.0,46.81818181818182
957,2013-12-01,JP,,0.0,58.0,0.0,,0.0,,17.0,0.0,,,,2.0,,,0.0,2013,12,,0.0,20.727272727272727,0.0,,0.0,,16.90909090909091,0.0,,,,2.8181818181818183,,,1.0909090909090908
958,2013-12-01,KR,,5.0,,0.0,,0.0,,0.0,,0.0,,,1.0,0.0,0.0,0.0,2013,12,,3.6363636363636362,,0.5454545454545454,,1.8181818181818181,,18.272727272727273,,0.0,,,0.7272727272727273,0.0,0.0,0.0
959,2013-12-01,US,0.0,29.0,48.0,20.0,7.0,20.0,0.0,35.0,38.0,8.0,27.0,0.0,26.0,17.0,0.0,51.0,2013,12,2.1818181818181817,37.81818181818182,66.72727272727273,23.545454545454547,9.181818181818182,24.545454545454547,15.818181818181818,41.36363636363637,40.90909090909091,9.636363636363637,24.181818181818183,5.545454545454546,30.636363636363637,18.90909090909091,0.0,58.63636363636363
965,2014-01-01,JP,,0.0,27.0,0.0,,0.0,,0.0,0.0,,,,4.0,,,0.0,2014,1,,,,,,,,,,,,,,,,
966,2014-01-01,KR,,0.0,,0.0,,0.0,,42.0,,0.0,,,0.0,0.0,0.0,0.0,2014,1,,,,,,,,,,,,,,,,
964,2014-01-01,GB,53.0,31.0,75.0,0.0,58.0,75.0,,38.0,0.0,0.0,,,27.0,51.0,6.0,63.0,2014,1,,,,,,,,,,,,,,,,
967,2014-01-01,US,12.0,41.0,56.0,21.0,9.0,23.0,0.0,39.0,41.0,12.0,32.0,7.0,33.0,20.0,0.0,73.0,2014,1,,,,,,,,,,,,,,,,
962,2014-01-01,CN,,8.0,0.0,0.0,,,,,,,,,,,,,2014,1,,,,,,,,,,,,,,,,
961,2014-01-01,CH,,0.0,,0.0,,,,,8.0,,,,0.0,,,,2014,1,,,,,,,,,,,,,,,,
960,2014-01-01,CA,,0.0,,,0.0,55.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,11.0,2014,1,,,,,,,,,,,,,,,,
963,2014-01-01,DE,,0.0,30.0,13.0,0.0,0.0,,31.0,0.0,,0.0,,0.0,,0.0,7.0,2014,1,,,,,,,,,,,,,,,,
968,2014-02-01,CA,,0.0,,,0.0,47.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,13.0,2014,2,,0.0,,,0.0,55.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,11.0
969,2014-02-01,CH,,0.0,,0.0,,,,,8.0,,,,5.0,,,,2014,2,,0.0,,0.0,,,,,8.0,,,,0.0,,,
970,2014-02-01,CN,,6.0,0.0,0.0,,,,,,,,,,,,,2014,2,,8.0,0.0,0.0,,,,,,,,,,,,
971,2014-02-01,DE,,0.0,29.0,11.0,0.0,0.0,,54.0,0.0,,16.0,,0.0,,0.0,6.0,2014,2,,0.0,30.0,13.0,0.0,0.0,,31.0,0.0,,0.0,,0.0,,0.0,7.0
972,2014-02-01,GB,18.0,30.0,70.0,0.0,59.0,72.0,,43.0,0.0,4.0,,,23.0,16.0,14.0,31.0,2014,2,53.0,31.0,75.0,0.0,58.0,75.0,,38.0,0.0,0.0,,,27.0,51.0,6.0,63.0
973,2014-02-01,JP,,0.0,42.0,0.0,,0.0,,33.0,0.0,,,,0.0,,,0.0,2014,2,,0.0,27.0,0.0,,0.0,,0.0,0.0,,,,4.0,,,0.0
974,2014-02-01,KR,,4.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,2014,2,,0.0,,0.0,,0.0,,42.0,,0.0,,,0.0,0.0,0.0,0.0
975,2014-02-01,US,5.0,45.0,76.0,27.0,9.0,28.0,0.0,40.0,42.0,11.0,29.0,0.0,39.0,17.0,0.0,75.0,2014,2,12.0,41.0,56.0,21.0,9.0,23.0,0.0,39.0,41.0,12.0,32.0,7.0,33.0,20.0,0.0,73.0
